"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	11	55601	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	44	218022	20.2	20.2
	"Blount County, AL"	"01009"	10	57840	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	25	114277	21.9	21.8
	"Colbert County, AL"	"01033"	17	54762	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	14	83442	Unreliable	Unreliable
	"Dale County, AL"	"01045"	14	48956	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	13	71385	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	20	81887	24.4	22.6
	"Etowah County, AL"	"01055"	21	102501	20.5	21.5
	"Houston County, AL"	"01069"	20	104722	19.1	19.6
	"Jackson County, AL"	"01071"	15	51736	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	83	659300	12.6	11.9
	"Lauderdale County, AL"	"01077"	11	92387	Unreliable	Unreliable
	"Lawrence County, AL"	"01079"	12	32957	Unreliable	Unreliable
	"Lee County, AL"	"01081"	22	163941	13.4	13.0
	"Limestone County, AL"	"01083"	22	96174	22.9	21.6
	"Madison County, AL"	"01089"	61	366519	16.6	15.7
	"Marshall County, AL"	"01095"	17	96109	Unreliable	Unreliable
	"Mobile County, AL"	"01097"	62	413757	15.0	13.9
	"Montgomery County, AL"	"01101"	24	225763	10.6	10.6
	"Morgan County, AL"	"01103"	28	119089	23.5	23.5
	"Russell County, AL"	"01113"	14	57781	Unreliable	Unreliable
	"St. Clair County, AL"	"01115"	21	88690	23.7	25.6
	"Shelby County, AL"	"01117"	32	215707	14.8	15.3
	"Talladega County, AL"	"01121"	13	79828	Unreliable	Unreliable
	"Tallapoosa County, AL"	"01123"	10	40497	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	27	208911	12.9	12.7
	"Walker County, AL"	"01127"	11	63711	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	59	291538	20.2	19.3
	"Fairbanks North Star Borough, AK"	"02090"	29	98971	29.3	28.5
	"Kenai Peninsula Borough, AK"	"02122"	16	58533	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	21	107610	19.5	20.0
	"Northwest Arctic Borough, AK"	"02188"	10	7671	Unreliable	Unreliable
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	30	71818	41.8	44.4
	"Cochise County, AZ"	"04003"	22	126770	17.4	14.9
	"Coconino County, AZ"	"04005"	48	142854	33.6	33.1
	"Gila County, AZ"	"04007"	33	53889	61.2	61.9
	"Maricopa County, AZ"	"04013"	746	4410824	16.9	16.4
	"Mohave County, AZ"	"04015"	78	209550	37.2	31.5
	"Navajo County, AZ"	"04017"	51	110445	46.2	49.8
	"Pima County, AZ"	"04019"	216	1039073	20.8	19.5
	"Pinal County, AZ"	"04021"	91	447138	20.4	20.2
	"Yavapai County, AZ"	"04025"	82	231993	35.3	30.0
	"Yuma County, AZ"	"04027"	36	212128	17.0	17.5
	"Baxter County, AR"	"05005"	14	41619	Unreliable	Unreliable
