"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Baldwin County, AL"	"01003"	45	203709	22.1	21.8
	"Blount County, AL"	"01009"	10	57673	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	24	115620	20.8	17.7
	"Chilton County, AL"	"01021"	11	43943	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	18	82005	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	12	71130	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	13	81468	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	15	103057	Unreliable	Unreliable
	"Houston County, AL"	"01069"	21	104173	20.2	21.9
	"Jackson County, AL"	"01071"	12	52419	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	98	660367	14.8	14.3
	"Lauderdale County, AL"	"01077"	12	92596	Unreliable	Unreliable
	"Lee County, AL"	"01081"	17	156993	Unreliable	Unreliable
	"Limestone County, AL"	"01083"	10	91663	Unreliable	Unreliable
	"Madison County, AL"	"01089"	59	353089	16.7	16.3
	"Marshall County, AL"	"01095"	18	94725	Unreliable	Unreliable
	"Mobile County, AL"	"01097"	66	415395	15.9	15.8
	"Montgomery County, AL"	"01101"	26	226519	11.5	11.1
	"Morgan County, AL"	"01103"	18	119565	Unreliable	Unreliable
	"Russell County, AL"	"01113"	10	59660	Unreliable	Unreliable
	"St. Clair County, AL"	"01115"	15	87074	Unreliable	Unreliable
	"Shelby County, AL"	"01117"	33	208713	15.8	15.3
	"Talladega County, AL"	"01121"	20	80862	24.7	23.8
	"Tuscaloosa County, AL"	"01125"	18	203976	Unreliable	Unreliable
	"Walker County, AL"	"01127"	16	65294	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	80	298695	26.8	26.0
	"Fairbanks North Star Borough, AK"	"02090"	18	99631	Unreliable	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	17	58059	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	19	101095	Unreliable	Unreliable
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Wade Hampton Census Area, AK"	"02270"	16	8119	Unreliable	Unreliable
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	19	71474	Unreliable	Unreliable
	"Cochise County, AZ"	"04003"	27	126427	21.4	18.2
	"Coconino County, AZ"	"04005"	33	139097	23.7	25.4
	"Gila County, AZ"	"04007"	18	53159	Unreliable	Unreliable
	"Maricopa County, AZ"	"04013"	675	4167947	16.2	16.1
	"Mohave County, AZ"	"04015"	74	204737	36.1	33.3
	"Navajo County, AZ"	"04017"	30	108277	27.7	29.8
	"Pima County, AZ"	"04019"	204	1010025	20.2	19.3
	"Pinal County, AZ"	"04021"	75	406584	18.4	18.5
	"Yavapai County, AZ"	"04025"	80	222255	36.0	33.7
	"Yuma County, AZ"	"04027"	34	204275	16.6	15.8
	"Baxter County, AR"	"05005"	17	41053	Unreliable	Unreliable
	"Benton County, AR"	"05007"	49	249672	19.6	20.4
	"Conway County, AR"	"05029"	11	21019	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	18	104354	Unreliable	Unreliable
	"Crawford County, AR"	"05033"	18	61703	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	20	121552	16.5	16.5
	"Garland County, AR"	"05051"	36	97177	37.0	35.8
	"Greene County, AR"	"05055"	13	44196	Unreliable	Unreliable
	"Hot Spring County, AR"	"05059"	11	33426	Unreliable	Unreliable
	"Jefferson County, AR"	"05069"	10	71565	Unreliable	Unreliable
	"Lonoke County, AR"	"05085"	20	71645	27.9	27.6
	"Pope County, AR"	"05115"	12	63390	Unreliable	Unreliable
	"Pulaski County, AR"	"05119"	56	392664	14.3	13.6
	"Saline County, AR"	"05125"	22	117460	18.7	19.0
	"Sebastian County, AR"	"05131"	24	127780	18.8	19.2
	"Washington County, AR"	"05143"	36	225477	16.0	15.8
