"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Salt Lake County, UT"	"49035"	185	1016795	18.2	19.3
	"Utah County, UT"	"49049"	60	504801	11.9	14.2
	"Washington County, UT"	"49053"	23	137088	16.8	18.2
	"Weber County, UT"	"49057"	47	228118	20.6	21.3
	"Chittenden County, VT"	"50007"	16	155793	Unreliable	Unreliable
	"Albemarle County, VA"	"51003"	13	98071	Unreliable	Unreliable
	"Arlington County, VA"	"51013"	14	202637	Unreliable	Unreliable
	"Augusta County, VA"	"51015"	15	73844	Unreliable	Unreliable
	"Bedford County, VA"	"51019"	14	68399	Unreliable	Unreliable
	"Chesterfield County, VA"	"51041"	31	313096	9.9	9.4
	"Culpeper County, VA"	"51047"	10	46236	Unreliable	Unreliable
	"Fairfax County, VA"	"51059"	108	1065142	10.1	10.3
	"Fauquier County, VA"	"51061"	10	64907	Unreliable	Unreliable
	"Hanover County, VA"	"51085"	17	99651	Unreliable	Unreliable
	"Henrico County, VA"	"51087"	38	304763	12.5	11.8
	"Henry County, VA"	"51089"	14	54402	Unreliable	Unreliable
	"Loudoun County, VA"	"51107"	29	303661	9.6	9.3
	"Pittsylvania County, VA"	"51143"	14	63386	Unreliable	Unreliable
	"Prince William County, VA"	"51153"	37	389001	9.5	9.7
	"Stafford County, VA"	"51179"	13	126449	Unreliable	Unreliable
	"Tazewell County, VA"	"51185"	12	45069	Unreliable	Unreliable
	"Washington County, VA"	"51191"	13	54722	Unreliable	Unreliable
	"Alexandria city, VA"	"51510"	10	137523	Unreliable	Unreliable
	"Chesapeake city, VA"	"51550"	25	220176	11.4	11.5
	"Clifton Forge city, VA"	"51560"	Missing	Missing	Missing	Missing
	"Hampton city, VA"	"51650"	15	137833	Unreliable	Unreliable
	"Newport News city, VA"	"51700"	16	181000	Unreliable	Unreliable
	"Norfolk city, VA"	"51710"	26	241725	10.8	10.9
	"Portsmouth city, VA"	"51740"	11	95384	Unreliable	Unreliable
	"Richmond city, VA"	"51760"	30	203678	14.7	16.1
	"Roanoke city, VA"	"51770"	14	97023	Unreliable	Unreliable
	"Virginia Beach city, VA"	"51810"	57	435004	13.1	12.5
	"Benton County, WA"	"53005"	26	171122	15.2	15.6
	"Clallam County, WA"	"53009"	17	71077	Unreliable	Unreliable
	"Clark County, WA"	"53011"	57	421236	13.5	13.2
	"Cowlitz County, WA"	"53015"	12	102126	Unreliable	Unreliable
	"Grays Harbor County, WA"	"53027"	13	72468	Unreliable	Unreliable
	"King County, WA"	"53033"	229	1912012	12.0	11.4
	"Kitsap County, WA"	"53035"	28	248800	11.3	10.7
	"Lewis County, WA"	"53041"	17	75316	Unreliable	Unreliable
	"Mason County, WA"	"53045"	13	60333	Unreliable	Unreliable
	"Pierce County, WA"	"53053"	107	796483	13.4	13.3
	"Skagit County, WA"	"53057"	17	116557	Unreliable	Unreliable
	"Snohomish County, WA"	"53061"	108	706302	15.3	14.9
	"Spokane County, WA"	"53063"	64	468235	13.7	13.2
	"Stevens County, WA"	"53065"	12	43548	Unreliable	Unreliable
	"Thurston County, WA"	"53067"	39	249936	15.6	14.5
	"Walla Walla County, WA"	"53071"	11	58103	Unreliable	Unreliable
	"Whatcom County, WA"	"53073"	35	199865	17.5	18.4
	"Yakima County, WA"	"53077"	35	239604	14.6	15.1
	"Berkeley County, WV"	"54003"	10	102830	Unreliable	Unreliable
	"Cabell County, WV"	"54011"	10	96040	Unreliable	Unreliable
	"Kanawha County, WV"	"54039"	34	193150	17.6	17.7
	"Mercer County, WV"	"54055"	11	62177	Unreliable	Unreliable
	"Monongalia County, WV"	"54061"	12	94165	Unreliable	Unreliable
	"Raleigh County, WV"	"54081"	15	78782	Unreliable	Unreliable
	"Wood County, WV"	"54107"	10	86841	Unreliable	Unreliable
	"Brown County, WI"	"55009"	35	246476	14.2	14.4
	"Calumet County, WI"	"55015"	12	48457	Unreliable	Unreliable
	"Dane County, WI"	"55025"	57	484979	11.8	11.5
	"Dodge County, WI"	"55027"	15	88677	Unreliable	Unreliable
	"Eau Claire County, WI"	"55035"	12	98274	Unreliable	Unreliable
	"Fond du Lac County, WI"	"55039"	16	101370	Unreliable	Unreliable
	"Grant County, WI"	"55043"	11	50916	Unreliable	Unreliable
	"Kenosha County, WI"	"55059"	18	165502	Unreliable	Unreliable
	"La Crosse County, WI"	"55063"	15	114021	Unreliable	Unreliable
	"Manitowoc County, WI"	"55071"	10	81600	Unreliable	Unreliable
	"Marathon County, WI"	"55073"	19	133793	Unreliable	Unreliable
	"Milwaukee County, WI"	"55079"	102	942668	10.8	10.7
	"Monroe County, WI"	"55081"	10	44437	Unreliable	Unreliable
	"Oconto County, WI"	"55083"	11	37655	Unreliable	Unreliable
	"Outagamie County, WI"	"55087"	20	176175	11.4	10.7
	"Polk County, WI"	"55095"	10	44376	Unreliable	Unreliable
	"Racine County, WI"	"55101"	21	195130	10.8	10.8
	"Rock County, WI"	"55105"	22	160411	13.7	13.7
	"Sauk County, WI"	"55111"	14	61562	Unreliable	Unreliable
	"Sheboygan County, WI"	"55117"	15	115562	Unreliable	Unreliable
	"Walworth County, WI"	"55127"	13	102077	Unreliable	Unreliable
