"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	11	55246	Unreliable	Unreliable
	"Baldwin County, AL"	"01003"	37	195540	18.9	19.1
	"Calhoun County, AL"	"01015"	19	116736	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	12	80811	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	12	80902	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	21	103931	20.2	19.6
	"Houston County, AL"	"01069"	15	103668	Unreliable	Unreliable
	"Jackson County, AL"	"01071"	14	52951	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	87	659479	13.2	12.7
	"Lauderdale County, AL"	"01077"	14	92797	Unreliable	Unreliable
	"Lee County, AL"	"01081"	19	150933	Unreliable	Unreliable
	"Limestone County, AL"	"01083"	11	88845	Unreliable	Unreliable
	"Madison County, AL"	"01089"	55	346892	15.9	14.5
	"Marshall County, AL"	"01095"	20	94760	21.1	20.7
	"Mobile County, AL"	"01097"	57	414079	13.8	13.3
	"Montgomery County, AL"	"01101"	21	226659	9.3	9.1
	"Morgan County, AL"	"01103"	14	119787	Unreliable	Unreliable
	"St. Clair County, AL"	"01115"	18	86308	Unreliable	Unreliable
	"Shelby County, AL"	"01117"	29	204180	14.2	14.3
	"Talladega County, AL"	"01121"	11	81096	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	25	200821	12.4	12.4
	"Walker County, AL"	"01127"	10	65998	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	60	300950	19.9	18.9
	"Fairbanks North Star Borough, AK"	"02090"	20	100436	19.9	21.1
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Kenai Peninsula Borough, AK"	"02122"	15	57147	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	19	95192	Unreliable	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Wade Hampton Census Area, AK"	"02270"	10	7977	Unreliable	Unreliable
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	28	71934	38.9	42.3
	"Cochise County, AZ"	"04003"	24	129473	18.5	20.0
	"Coconino County, AZ"	"04005"	30	136539	22.0	21.4
	"Gila County, AZ"	"04007"	17	53053	Unreliable	Unreliable
	"Maricopa County, AZ"	"04013"	632	4009412	15.8	15.9
	"Mohave County, AZ"	"04015"	78	203030	38.4	34.0
	"Navajo County, AZ"	"04017"	25	107322	23.3	24.6
	"Pima County, AZ"	"04019"	187	996554	18.8	18.8
	"Pinal County, AZ"	"04021"	55	389350	14.1	14.6
	"Yavapai County, AZ"	"04025"	61	215133	28.4	29.2
	"Yuma County, AZ"	"04027"	17	201201	Unreliable	Unreliable
	"Baxter County, AR"	"05005"	16	40957	Unreliable	Unreliable
	"Benton County, AR"	"05007"	34	237297	14.3	14.3
	"Boone County, AR"	"05009"	15	37396	Unreliable	Unreliable
	"Craighead County, AR"	"05031"	23	101488	22.7	23.6
	"Crawford County, AR"	"05033"	13	61640	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	16	119580	Unreliable	Unreliable
	"Garland County, AR"	"05051"	23	97173	23.7	21.4
	"Greene County, AR"	"05055"	12	43097	Unreliable	Unreliable
	"Hot Spring County, AR"	"05059"	10	33500	Unreliable	Unreliable
	"Pulaski County, AR"	"05119"	67	391284	17.1	17.0
	"Saline County, AR"	"05125"	13	114404	Unreliable	Unreliable
	"Sebastian County, AR"	"05131"	22	127342	17.3	18.6
	"Washington County, AR"	"05143"	28	216410	12.9	13.2
	"White County, AR"	"05145"	18	78483	Unreliable	Unreliable
	"Alameda County, CA"	"06001"	152	1578891	9.6	9.2
