"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Sierra County, NM"	"35051"	13	11895	Unreliable	Unreliable
	"Socorro County, NM"	"35053"	23	17603	130.7	118.1
	"Taos County, NM"	"35055"	43	32779	131.2	104.6
	"Torrance County, NM"	"35057"	16	16021	Unreliable	Unreliable
	"Valencia County, NM"	"35061"	56	76631	73.1	71.7
	"Albany County, NY"	"36001"	180	305455	58.9	46.6
	"Allegany County, NY"	"36003"	46	48357	95.1	75.3
	"Bronx County, NY"	"36005"	1319	1408473	93.6	102.5
	"Broome County, NY"	"36007"	198	198060	100.0	69.0
	"Cattaraugus County, NY"	"36009"	80	79458	100.7	76.9
	"Cayuga County, NY"	"36011"	65	79552	81.7	60.7
	"Chautauqua County, NY"	"36013"	158	133539	118.3	83.9
	"Chemung County, NY"	"36015"	124	88911	139.5	106.8
	"Chenango County, NY"	"36017"	33	49933	66.1	49.1
	"Clinton County, NY"	"36019"	76	81654	93.1	81.6
	"Columbia County, NY"	"36021"	46	62499	73.6	49.9
	"Cortland County, NY"	"36023"	43	49474	86.9	75.0
	"Delaware County, NY"	"36025"	46	47276	97.3	59.7
	"Dutchess County, NY"	"36027"	192	297322	64.6	53.8
	"Erie County, NY"	"36029"	909	919086	98.9	73.3
	"Essex County, NY"	"36031"	39	38961	100.1	64.8
	"Franklin County, NY"	"36033"	43	51795	83.0	75.0
	"Fulton County, NY"	"36035"	76	54925	138.4	98.9
	"Genesee County, NY"	"36037"	87	59977	145.1	106.7
	"Greene County, NY"	"36039"	34	48673	69.9	50.0
	"Herkimer County, NY"	"36043"	90	64508	139.5	98.0
	"Jefferson County, NY"	"36045"	76	120262	63.2	67.1
	"Kings County, NY"	"36047"	1799	2565635	70.1	72.3
	"Lewis County, NY"	"36049"	30	27224	110.2	87.7
	"Livingston County, NY"	"36051"	46	64810	71.0	56.6
	"Madison County, NY"	"36053"	55	72382	76.0	61.9
	"Monroe County, NY"	"36055"	351	747813	46.9	37.8
	"Montgomery County, NY"	"36057"	50	49941	100.1	67.7
	"Nassau County, NY"	"36059"	710	1349233	52.6	39.2
	"New York County, NY"	"36061"	867	1619090	53.5	47.9
	"Niagara County, NY"	"36063"	230	215124	106.9	78.3
	"Oneida County, NY"	"36065"	278	233556	119.0	81.9
	"Onondaga County, NY"	"36067"	339	466852	72.6	58.0
	"Ontario County, NY"	"36069"	90	108519	82.9	61.3
	"Orange County, NY"	"36071"	220	374512	58.7	60.0
	"Orleans County, NY"	"36073"	33	42836	77.0	62.0
	"Oswego County, NY"	"36075"	105	121700	86.3	76.0
	"Otsego County, NY"	"36077"	60	61709	97.2	70.1
	"Putnam County, NY"	"36079"	46	99607	46.2	40.0
	"Queens County, NY"	"36081"	1406	2272771	61.9	56.2
	"Rensselaer County, NY"	"36083"	135	159835	84.5	72.3
	"Richmond County, NY"	"36085"	270	470728	57.4	50.8
	"Rockland County, NY"	"36087"	179	317757	56.3	49.7
	"St. Lawrence County, NY"	"36089"	101	112232	90.0	76.9
	"Saratoga County, NY"	"36091"	147	222133	66.2	57.1
	"Schenectady County, NY"	"36093"	133	155124	85.7	65.5
	"Schoharie County, NY"	"36095"	24	32099	74.8	56.6
	"Schuyler County, NY"	"36097"	12	18514	Unreliable	Unreliable
	"Seneca County, NY"	"36099"	30	35305	85.0	64.7
	"Steuben County, NY"	"36101"	76	99063	76.7	55.9
	"Suffolk County, NY"	"36103"	731	1499273	48.8	41.6
	"Sullivan County, NY"	"36105"	63	76793	82.0	65.6
	"Tioga County, NY"	"36107"	42	50478	83.2	61.6
	"Tompkins County, NY"	"36109"	69	102554	67.3	73.9
	"Ulster County, NY"	"36111"	116	181791	63.8	48.7
	"Warren County, NY"	"36113"	86	65538	131.2	89.7
	"Washington County, NY"	"36115"	89	62934	141.4	111.1
	"Wayne County, NY"	"36117"	60	92962	64.5	53.4
	"Westchester County, NY"	"36119"	482	961670	50.1	38.5
	"Wyoming County, NY"	"36121"	46	41892	109.8	98.1
	"Yates County, NY"	"36123"	28	25344	110.5	81.7
	"Alamance County, NC"	"37001"	147	153920	95.5	76.8
	"Alexander County, NC"	"37003"	44	36853	119.4	96.8
	"Alleghany County, NC"	"37005"	12	10927	Unreliable	Unreliable
	"Anson County, NC"	"37007"	32	26351	121.4	103.0
	"Ashe County, NC"	"37009"	47	27097	173.5	108.0
	"Avery County, NC"	"37011"	15	17635	Unreliable	Unreliable
	"Beaufort County, NC"	"37013"	86	47507	181.0	127.9
	"Bertie County, NC"	"37015"	48	20653	232.4	158.7
	"Bladen County, NC"	"37017"	59	34915	169.0	127.9
	"Brunswick County, NC"	"37019"	119	112257	106.0	70.7
	"Buncombe County, NC"	"37021"	204	244490	83.4	62.5
	"Burke County, NC"	"37023"	126	90505	139.2	106.3
	"Cabarrus County, NC"	"37025"	158	184498	85.6	90.3
	"Caldwell County, NC"	"37027"	105	81930	128.2	104.5
	"Camden County, NC"	"37029"	10	10090	Unreliable	Unreliable
	"Carteret County, NC"	"37031"	69	67632	102.0	68.9
	"Caswell County, NC"	"37033"	34	23217	146.4	103.6
	"Catawba County, NC"	"37035"	131	154339	84.9	72.1
	"Chatham County, NC"	"37037"	57	65976	86.4	52.7
	"Cherokee County, NC"	"37039"	34	26992	126.0	77.0
	"Chowan County, NC"	"37041"	21	14772	142.2	91.0
